Tenure,MonthlyCharge,Bandwidth_GB_Year,Outage_sec_perweek,Yearly_equip_failure,Age,Income,Email,Contacts,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Gender_Male,Gender_Nonbinary,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Contract_One year,Contract_Two Year,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,InternetService_Fiber Optic,TechSupport_Yes,StreamingTV_Yes,PaperlessBilling_Yes,Techie_Yes,Area_Suburban,Area_Urban,Churn
6.795512947,172.455519,904.5361102,7.978322947,1.0,68.0,28561.99,10.0,0.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,0
1.156680997,242.632554,800.9827661,11.69907956,1.0,27.0,21704.77,12.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,1
15.75414408,159.947583,2054.706961,10.75280028,1.0,50.0,9609.57,9.0,0.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,True,0
17.08722662,119.95684,2164.579412,14.91353964,0.0,48.0,18925.23,15.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,0
1.670971726,149.948316,271.4934362,8.147416533,1.0,83.0,40074.19,16.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,1
7.000993555,185.007692,1039.357983,8.420992898,1.0,83.0,22660.2,15.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,0
13.23677381,200.118516,1907.242972,11.18272453,1.0,79.0,11467.5,10.0,0.0,6.0,5.0,6.0,4.0,1.0,5.0,5.0,5.0,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,1
4.26425515,114.950905,979.6127078,7.791632265,0.0,30.0,26759.64,16.0,0.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,5.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,1
8.220686373,117.468591,1312.874964,5.739005915,3.0,49.0,58634.51,20.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0
3.422086139,162.482694,508.7637913,8.707823904,0.0,86.0,50231.4,18.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0
